TABLO-4 2024 Yýlý Merkezi Yerleþtirme Ýle Öðrenci Alan Yükseköðretim Lisans Programlarý;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Genel Kontenjan;;;;Okul Birincisi Kontenjaný;;;;Depremzede Aday Kontenjaný;;;;34 Yaþ Üstü Kadýn Kontenjaný;;;;Þehit Yakýný-Gazi/Gazi Yakýný Kontenjaný;;;
Program Kodu;Üniversite Türü;Üniversite Adý;Fakülte/Yüksekokul Adý;Program Adý;Puan Türü;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan
106510090;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Ýnsan ve Toplum Bilimleri Fakültesi;Psikoloji (Ýngilizce);EA;60;60;374,17808;403,76166;2;2;356,85219;358,86285;--;--;--;--;2;2;273,21760;284,27463;--;--;--;--
106510089;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Ýnsan ve Toplum Bilimleri Fakültesi;Siyaset Bilimi ve Uluslararasý Ýliþkiler (Ýngilizce);EA;65;67;318,54235;385,43579;2;0;--;--;--;--;--;--;2;2;228,81227;266,16298;--;--;--;--
106510014;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Mimarlýk Fakültesi;Mimarlýk (Ýngilizce);SAY;60;62;333,46626;395,06894;2;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
106510077;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Mühendislik Fakültesi;Bilgisayar Mühendisliði (Ýngilizce);SAY;80;80;439,02957;503,07244;2;2;401,83907;414,23718;--;--;--;--;--;--;--;--;--;--;--;--
106510098;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Mühendislik Fakültesi;Bilgisayar Mühendisliði (Ýngilizce) (KKTC Uyruklu);SAY;1;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
106510068;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliði (Ýngilizce);SAY;85;85;406,17442;473,57885;3;3;331,11102;352,05841;--;--;--;--;--;--;--;--;--;--;--;--
106510023;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Mühendislik Fakültesi;Endüstri Mühendisliði (Ýngilizce);SAY;75;75;397,13988;442,80691;2;2;356,13757;366,73627;--;--;--;--;--;--;--;--;--;--;--;--
106510032;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Mühendislik Fakültesi;Ýnþaat Mühendisliði (Ýngilizce);SAY;40;41;299,90795;372,58306;1;0;--;--;--;--;--;--;--;--;--;--;--;--;--;--
106510041;DEVLET;ABDULLAH GÜL ÜNÝVERSÝTESÝ (KAYSERÝ);Mühendislik Fakültesi;Makine Mühendisliði (Ýngilizce);SAY;65;66;366,79266;409,96831;2;1;317,53578;317,53578;--;--;--;--;--;--;--;--;--;--;--;--
