TABLO-3 2024 Yýlý Merkezi Yerleþtirme Ýle Öðrenci Alan Yükseköðretim Ön Lisans Programlarý;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Genel Kontenjan;;;;Okul Birincisi Kontenjaný;;;;Depremzede Aday Kontenjaný;;;;34 Yaþ Üstü Kadýn Kontenjaný;;;;Þehit Yakýný-Gazi/Gazi Yakýný Kontenjaný;;;
Program Kodu;Üniversite Türü;Üniversite Adý;Fakülte/Yüksekokul Adý;Program Adý;Puan Türü;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan
200150352;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Meslek Yüksekokulu;Aþçýlýk (%50 Ýndirimli);TYT;28;28;266,53184;337,93899;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150361;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Meslek Yüksekokulu;Aþçýlýk (Burslu);TYT;4;4;387,19792;412,95227;--;--;--;--;1;1;260,39854;260,39854;--;--;--;--;1;1;230,18632;230,18632
200190088;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Meslek Yüksekokulu;Bilgisayar Programcýlýðý (%50 Ýndirimli);TYT;34;34;307,23749;355,59038;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200190081;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Meslek Yüksekokulu;Bilgisayar Programcýlýðý (Burslu);TYT;5;5;385,79950;506,43738;--;--;--;--;1;1;295,84225;295,84225;--;--;--;--;1;1;208,95028;208,95028
200150767;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Meslek Yüksekokulu;Biyomedikal Cihaz Teknolojisi (%50 Ýndirimli);TYT;25;25;214,80204;320,44425;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150758;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Meslek Yüksekokulu;Biyomedikal Cihaz Teknolojisi (Burslu);TYT;4;4;345,60600;362,73690;--;--;--;--;1;0;--;--;--;--;--;--;1;1;202,28374;202,28374
200150661;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Aðýz ve Diþ Saðlýðý (%50 Ýndirimli);TYT;31;31;269,15220;303,34837;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150652;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Aðýz ve Diþ Saðlýðý (Burslu);TYT;4;4;363,68844;384,92233;--;--;--;--;1;1;271,85527;271,85527;--;--;--;--;1;0;--;--
200190039;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Aðýz ve Diþ Saðlýðý (ÝÖ) (%50 Ýndirimli);TYT;21;21;241,11980;262,77858;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
